tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
3072, 155, 50, 0.987500, 1, 100, 0.000000, 1.695126
3104, 155, 50, 0.987500, 1, 100, 0.000000, 1.695884
3136, 155, 50, 0.987500, 1, 100, 0.000000, 1.697273
3168, 155, 50, 0.987500, 1, 100, 0.000000, 1.693141
3200, 155, 50, 0.987500, 1, 100, 0.000000, 1.700132
3232, 155, 50, 0.987500, 1, 100, 0.000000, 1.696309
3264, 155, 50, 0.987500, 1, 100, 0.000000, 1.694454
3296, 155, 50, 0.987500, 1, 100, 0.000000, 1.699989
3328, 155, 50, 0.987500, 1, 100, 0.000000, 1.698811
3360, 155, 50, 0.987500, 1, 100, 0.000000, 1.699876
3392, 155, 50, 0.987500, 1, 100, 0.000000, 1.701875
3424, 155, 50, 0.987500, 1, 100, 0.000000, 1.694136
3456, 155, 50, 0.987500, 1, 100, 0.000000, 1.695071
3488, 155, 50, 0.987500, 1, 100, 0.000000, 1.699067
3520, 155, 50, 0.987500, 1, 100, 0.000000, 1.692681
3552, 155, 50, 0.987500, 1, 100, 0.000000, 1.697223
3584, 155, 50, 0.987500, 1, 100, 0.000000, 1.699863
3616, 155, 50, 0.987500, 1, 100, 0.000000, 1.696936
3648, 155, 50, 0.987500, 1, 100, 0.000000, 1.697705
3680, 155, 50, 0.987500, 1, 100, 0.000000, 1.696372
3712, 155, 50, 0.987500, 1, 100, 0.000000, 1.691962
3744, 155, 50, 0.987500, 1, 100, 0.000000, 1.694593
3776, 155, 50, 0.987500, 1, 100, 0.000000, 1.696118
3808, 155, 50, 0.987500, 1, 100, 0.000000, 1.702412
3840, 155, 50, 0.987500, 1, 100, 0.000000, 1.693234
3872, 155, 50, 0.987500, 1, 100, 0.000000, 1.699869
3904, 155, 50, 0.987500, 1, 100, 0.000000, 1.700431
3936, 155, 50, 0.987500, 1, 100, 0.000000, 1.695079
3968, 155, 50, 0.987500, 1, 100, 0.000000, 1.696271
4000, 155, 50, 0.987500, 1, 100, 0.000000, 1.698412
4032, 155, 50, 0.987500, 1, 100, 0.000000, 1.701086
4064, 155, 50, 0.987500, 1, 100, 0.000000, 1.694078
4096, 155, 50, 0.987500, 1, 100, 0.000000, 1.693741
4128, 155, 50, 0.987500, 1, 100, 0.000000, 1.696431
4160, 155, 50, 0.987500, 1, 100, 0.000001, 1.696978
4192, 155, 50, 0.987500, 1, 100, 0.000000, 1.692240
4224, 155, 50, 0.987500, 1, 100, 0.000000, 1.694229
4256, 155, 50, 0.987500, 1, 100, 0.000000, 1.700396
4288, 155, 50, 0.987500, 1, 100, 0.000000, 1.697301
4320, 155, 50, 0.987500, 1, 100, 0.000000, 1.700249
4352, 155, 50, 0.987500, 1, 100, 0.000000, 1.702080
4384, 155, 50, 0.987500, 1, 100, 0.000000, 1.702203
4416, 155, 50, 0.987500, 1, 100, 0.000000, 1.700456
4448, 155, 50, 0.987500, 1, 100, 0.000000, 1.697786
4480, 155, 50, 0.987500, 1, 100, 0.000000, 1.697514
4512, 155, 50, 0.987500, 1, 100, 0.000000, 1.695002
4544, 155, 50, 0.987500, 1, 100, 0.000000, 1.698975
4576, 155, 50, 0.987500, 1, 100, 0.000000, 1.699273
4608, 155, 50, 0.987500, 1, 100, 0.000002, 1.698056
4640, 155, 50, 0.987500, 1, 100, 0.000000, 1.699718
4672, 155, 50, 0.987500, 1, 100, 0.000000, 1.697418
4704, 155, 50, 0.987500, 1, 100, 0.000000, 1.699291
4736, 155, 50, 0.987500, 1, 100, 0.000000, 1.702982
4768, 155, 50, 0.987500, 1, 100, 0.000000, 1.696139
4800, 155, 50, 0.987500, 1, 100, 0.000000, 1.694178
4832, 155, 50, 0.987500, 1, 100, 0.000000, 1.695661
4864, 155, 50, 0.987500, 1, 100, 0.000000, 1.696479
4896, 155, 50, 0.987500, 1, 100, 0.000001, 1.701025
4928, 155, 50, 0.987500, 1, 100, 0.000000, 1.703711
4960, 155, 50, 0.987500, 1, 100, 0.000000, 1.697180
4992, 155, 50, 0.987500, 1, 100, 0.000000, 1.696779
5024, 155, 50, 0.987500, 1, 100, 0.000000, 1.696379
5056, 155, 50, 0.987500, 1, 100, 0.000000, 1.696076
5088, 155, 50, 0.987500, 1, 100, 0.000000, 1.705242
5120, 155, 50, 0.987500, 1, 100, 0.000000, 1.696736
5152, 155, 50, 0.987500, 1, 100, 0.000000, 1.701165
5184, 155, 50, 0.987500, 1, 100, 0.000000, 1.698007
5216, 155, 50, 0.987500, 1, 100, 0.000000, 1.697761
5248, 155, 50, 0.987500, 1, 100, 0.000000, 1.702693
5280, 155, 50, 0.987500, 1, 100, 0.000000, 1.694118
5312, 155, 50, 0.987500, 1, 100, 0.000000, 1.697317
5344, 155, 50, 0.987500, 1, 100, 0.000001, 1.697572
5376, 155, 50, 0.987500, 1, 100, 0.000000, 1.700708
5408, 155, 50, 0.987500, 1, 100, 0.000000, 1.696525
5440, 155, 50, 0.987500, 1, 100, 0.000000, 1.697947
5472, 155, 50, 0.987500, 1, 100, 0.000001, 1.697374
5504, 155, 50, 0.987500, 1, 100, 0.000000, 1.696483
5536, 155, 50, 0.987500, 1, 100, 0.000000, 1.698432
5568, 155, 50, 0.987500, 1, 100, 0.000000, 1.701664
5600, 155, 50, 0.987500, 1, 100, 0.000000, 1.695929
5632, 155, 50, 0.987500, 1, 100, 0.000000, 1.698357
5664, 155, 50, 0.987500, 1, 100, 0.000000, 1.697078
5696, 155, 50, 0.987500, 1, 100, 0.000000, 1.695438
5728, 155, 50, 0.987500, 1, 100, 0.000000, 1.703092
5760, 155, 50, 0.987500, 1, 100, 0.000000, 1.701009
5792, 155, 50, 0.987500, 1, 100, 0.000000, 1.704666
5824, 155, 50, 0.987500, 1, 100, 0.000000, 1.699799
5856, 155, 50, 0.987500, 1, 100, 0.000000, 1.700202
5888, 155, 50, 0.987500, 1, 100, 0.000000, 1.695122
5920, 155, 50, 0.987500, 1, 100, 0.000000, 1.697998
5952, 155, 50, 0.987500, 1, 100, 0.000000, 1.698493
5984, 155, 50, 0.987500, 1, 100, 0.000000, 1.700448
6016, 155, 50, 0.987500, 1, 100, 0.000000, 1.699352
6048, 155, 50, 0.987500, 1, 100, 0.000000, 1.699348
6080, 155, 50, 0.987500, 1, 100, 0.000000, 1.701351
6112, 155, 50, 0.987500, 1, 100, 0.000000, 1.695999
6144, 155, 50, 0.987500, 1, 100, 0.000000, 1.694479
6176, 155, 50, 0.987500, 1, 100, 0.000000, 1.699229
6208, 155, 50, 0.987500, 1, 100, 0.000000, 1.696913
6240, 155, 50, 0.987500, 1, 100, 0.000000, 1.698019
6272, 155, 50, 0.987500, 1, 100, 0.000000, 1.701250
6304, 155, 50, 0.987500, 1, 100, 0.000000, 1.699001
6336, 155, 50, 0.987500, 1, 100, 0.000000, 1.696958
6368, 155, 50, 0.987500, 1, 100, 0.000000, 1.700777
6400, 155, 50, 0.987500, 1, 100, 0.000000, 1.698218
6432, 155, 50, 0.987500, 1, 100, 0.000000, 1.695771
6464, 155, 50, 0.987500, 1, 100, 0.000000, 1.700739
6496, 155, 50, 0.987500, 1, 100, 0.000000, 1.696374
6528, 155, 50, 0.987500, 1, 100, 0.000000, 1.695032
6560, 155, 50, 0.987500, 1, 100, 0.000002, 1.694843
6592, 155, 50, 0.987500, 1, 100, 0.000000, 1.699085
6624, 155, 50, 0.987500, 1, 100, 0.000000, 1.703402
6656, 155, 50, 0.987500, 1, 100, 0.000000, 1.699837
6688, 155, 50, 0.987500, 1, 100, 0.000000, 1.699156
6720, 155, 50, 0.987500, 1, 100, 0.000002, 1.697683
6752, 155, 50, 0.987500, 1, 100, 0.000000, 1.705115
6784, 155, 50, 0.987500, 1, 100, 0.000000, 1.705627
6816, 155, 50, 0.987500, 1, 100, 0.000000, 1.701672
6848, 155, 50, 0.987500, 1, 100, 0.000000, 1.697374
6880, 155, 50, 0.987500, 1, 100, 0.000000, 1.699500
6912, 155, 50, 0.987500, 1, 100, 0.000000, 1.694797
6944, 155, 50, 0.987500, 1, 100, 0.000000, 1.695658
