tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
35840, 155, 25, 0.700000, 0.500000, 16, 100, 0.002221, 0.706898
36352, 155, 25, 0.700000, 0.500000, 16, 100, 0.001987, 0.709245
36864, 155, 25, 0.700000, 0.500000, 16, 100, 0.001682, 0.710055
37376, 155, 25, 0.700000, 0.500000, 16, 100, 0.002393, 0.710422
37888, 155, 25, 0.700000, 0.500000, 16, 100, 0.002194, 0.710248
38400, 155, 25, 0.700000, 0.500000, 16, 100, 0.002382, 0.713593
38912, 155, 25, 0.700000, 0.500000, 16, 100, 0.002399, 0.708354
39424, 155, 25, 0.700000, 0.500000, 16, 100, 0.002072, 0.710996
39936, 155, 25, 0.700000, 0.500000, 16, 100, 0.002490, 0.707765
40448, 155, 25, 0.700000, 0.500000, 16, 100, 0.002127, 0.707865
40960, 155, 25, 0.700000, 0.500000, 16, 100, 0.002008, 0.709036
41472, 155, 25, 0.700000, 0.500000, 16, 100, 0.001996, 0.707668
41984, 155, 25, 0.700000, 0.500000, 16, 100, 0.002169, 0.708664
42496, 155, 25, 0.700000, 0.500000, 16, 100, 0.002284, 0.706665
43008, 155, 25, 0.700000, 0.500000, 16, 100, 0.002722, 0.706187
43520, 155, 25, 0.700000, 0.500000, 16, 100, 0.002286, 0.707901
44032, 155, 25, 0.700000, 0.500000, 16, 100, 0.002058, 0.708863
44544, 155, 25, 0.700000, 0.500000, 16, 100, 0.001987, 0.705227
45056, 155, 25, 0.700000, 0.500000, 16, 100, 0.002149, 0.707752
45568, 155, 25, 0.700000, 0.500000, 16, 100, 0.002437, 0.707579
46080, 155, 25, 0.700000, 0.500000, 16, 100, 0.001872, 0.705284
46592, 155, 25, 0.700000, 0.500000, 16, 100, 0.002259, 0.708063
47104, 155, 25, 0.700000, 0.500000, 16, 100, 0.001981, 0.707205
47616, 155, 25, 0.700000, 0.500000, 16, 100, 0.002447, 0.709964
48128, 155, 25, 0.700000, 0.500000, 16, 100, 0.002160, 0.707036
48640, 155, 25, 0.700000, 0.500000, 16, 100, 0.002118, 0.709141
49152, 155, 25, 0.700000, 0.500000, 16, 100, 0.001881, 0.709941
49664, 155, 25, 0.700000, 0.500000, 16, 100, 0.002137, 0.708708
50176, 155, 25, 0.700000, 0.500000, 16, 100, 0.002144, 0.710002
50688, 155, 25, 0.700000, 0.500000, 16, 100, 0.001965, 0.706690
51200, 155, 25, 0.700000, 0.500000, 16, 100, 0.001902, 0.706723
0, 155, 25, 0.700000, 0.500000, 20, 100, 0.002920, 0.459491
512, 155, 25, 0.700000, 0.500000, 20, 100, 0.003503, 0.462509
1024, 155, 25, 0.700000, 0.500000, 20, 100, 0.003476, 0.461795
1536, 155, 25, 0.700000, 0.500000, 20, 100, 0.003843, 0.462275
2048, 155, 25, 0.700000, 0.500000, 20, 100, 0.003635, 0.460799
2560, 155, 25, 0.700000, 0.500000, 20, 100, 0.003835, 0.460369
3072, 155, 25, 0.700000, 0.500000, 20, 100, 0.003605, 0.462546
3584, 155, 25, 0.700000, 0.500000, 20, 100, 0.003539, 0.463142
4096, 155, 25, 0.700000, 0.500000, 20, 100, 0.004551, 0.459071
4608, 155, 25, 0.700000, 0.500000, 20, 100, 0.003675, 0.462094
5120, 155, 25, 0.700000, 0.500000, 20, 100, 0.003722, 0.460088
5632, 155, 25, 0.700000, 0.500000, 20, 100, 0.003673, 0.461875
6144, 155, 25, 0.700000, 0.500000, 20, 100, 0.003923, 0.458311
