tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
17920, 155, 0, 0.800000, 0.500000, 140, 100, 0.000532, 0.000532
20480, 155, 0, 0.800000, 0.500000, 160, 100, 0.000503, 0.000503
23040, 155, 0, 0.800000, 0.500000, 180, 100, 0.000535, 0.000535
25600, 155, 0, 0.800000, 0.500000, 200, 100, 0.000582, 0.000582
28160, 155, 0, 0.800000, 0.500000, 220, 100, 0.000492, 0.000492
30720, 155, 0, 0.800000, 0.500000, 240, 100, 0.000812, 0.000812
33280, 155, 0, 0.800000, 0.500000, 260, 100, 0.000432, 0.000432
35840, 155, 0, 0.800000, 0.500000, 280, 100, 0.000643, 0.000643
38400, 155, 0, 0.800000, 0.500000, 300, 100, 0.000469, 0.000469
40960, 155, 0, 0.800000, 0.500000, 320, 100, 0.000378, 0.000378
43520, 155, 0, 0.800000, 0.500000, 340, 100, 0.000501, 0.000501
46080, 155, 0, 0.800000, 0.500000, 360, 100, 0.000374, 0.000374
48640, 155, 0, 0.800000, 0.500000, 380, 100, 0.000308, 0.000308
51200, 155, 0, 0.800000, 0.500000, 400, 100, 0.000449, 0.000449
0, 155, 0, 0.800000, 0.500000, 0, 100, -nan, 100.000000
2560, 155, 0, 0.800000, 0.500000, 20, 100, 0.000156, 0.492089
5120, 155, 0, 0.800000, 0.500000, 40, 100, 0.000681, 0.011546
7680, 155, 0, 0.800000, 0.500000, 60, 100, 0.000480, 0.000680
10240, 155, 0, 0.800000, 0.500000, 80, 100, 0.000387, 0.000400
12800, 155, 0, 0.800000, 0.500000, 100, 100, 0.000473, 0.000473
15360, 155, 0, 0.800000, 0.500000, 120, 100, 0.000564, 0.000564
17920, 155, 0, 0.800000, 0.500000, 140, 100, 0.000588, 0.000588
20480, 155, 0, 0.800000, 0.500000, 160, 100, 0.000478, 0.000478
23040, 155, 0, 0.800000, 0.500000, 180, 100, 0.000457, 0.000457
25600, 155, 0, 0.800000, 0.500000, 200, 100, 0.000407, 0.000407
28160, 155, 0, 0.800000, 0.500000, 220, 100, 0.000487, 0.000487
30720, 155, 0, 0.800000, 0.500000, 240, 100, 0.000516, 0.000516
33280, 155, 0, 0.800000, 0.500000, 260, 100, 0.000350, 0.000350
35840, 155, 0, 0.800000, 0.500000, 280, 100, 0.000512, 0.000512
38400, 155, 0, 0.800000, 0.500000, 300, 100, 0.000472, 0.000472
40960, 155, 0, 0.800000, 0.500000, 320, 100, 0.000724, 0.000724
