475749677, 10.0.0.2, 45487, 284, 122
480855019, 10.0.0.3, 52835, 284, 123
485851079, 10.0.0.2, 45487, 284, 124
487368038, 10.0.0.3, 52835, 284, 125
493710742, 10.0.0.3, 52835, 284, 126
495804527, 10.0.0.2, 45487, 284, 127
500133439, 10.0.0.3, 52835, 284, 128
506138258, 10.0.0.2, 45487, 284, 129
506488564, 10.0.0.3, 52835, 284, 130
514427485, 10.0.0.3, 52835, 284, 131
516567870, 10.0.0.2, 45487, 284, 132
519356009, 10.0.0.3, 52835, 284, 133
525715414, 10.0.0.3, 52835, 284, 134
526761366, 10.0.0.2, 45487, 284, 135
532174342, 10.0.0.3, 52835, 284, 136
537024164, 10.0.0.2, 45487, 284, 137
538556447, 10.0.0.3, 52835, 284, 138
544952879, 10.0.0.3, 52835, 284, 139
547342505, 10.0.0.2, 45487, 284, 140
551822867, 10.0.0.3, 52835, 284, 141
557659422, 10.0.0.2, 45487, 284, 142
558191737, 10.0.0.3, 52835, 284, 143
564541853, 10.0.0.3, 52835, 284, 144
567983023, 10.0.0.2, 45487, 284, 145
570660708, 10.0.0.3, 52835, 284, 146
577316611, 10.0.0.3, 52835, 284, 147
578357447, 10.0.0.2, 45487, 284, 148
583425551, 10.0.0.3, 52835, 284, 149
588599197, 10.0.0.2, 45487, 284, 150
589858770, 10.0.0.3, 52835, 284, 151
596234033, 10.0.0.3, 52835, 284, 152
600274926, 10.0.0.2, 45487, 284, 153
602658200, 10.0.0.3, 52835, 284, 154
609124705, 10.0.0.3, 52835, 284, 155
609206288, 10.0.0.2, 45487, 284, 156
615531235, 10.0.0.3, 52835, 284, 157
619502608, 10.0.0.2, 45487, 284, 158
621952920, 10.0.0.3, 52835, 284, 159
628402667, 10.0.0.3, 52835, 284, 160
629873202, 10.0.0.2, 45487, 284, 161
635394230, 10.0.0.3, 52835, 284, 162
640175707, 10.0.0.2, 45487, 284, 163
641151193, 10.0.0.3, 52835, 284, 164
648476854, 10.0.0.3, 52835, 284, 165
650425184, 10.0.0.2, 45487, 284, 166
653992236, 10.0.0.3, 52835, 284, 167
660732215, 10.0.0.3, 52835, 284, 168
660813162, 10.0.0.2, 45487, 284, 169
666812805, 10.0.0.3, 52835, 284, 170
670980057, 10.0.0.2, 45487, 284, 171
673419555, 10.0.0.3, 52835, 284, 172
680395625, 10.0.0.3, 52835, 284, 173
681306035, 10.0.0.2, 45487, 284, 174
685958553, 10.0.0.3, 52835, 284, 175
691590715, 10.0.0.2, 45487, 284, 176
692338059, 10.0.0.3, 52835, 284, 177
698722649, 10.0.0.3, 52835, 284, 178
701918316, 10.0.0.2, 45487, 284, 179
705455152, 10.0.0.3, 52835, 284, 180
711624883, 10.0.0.3, 52835, 284, 181
712204668, 10.0.0.2, 45487, 284, 182
718042513, 10.0.0.3, 52835, 284, 183
722550924, 10.0.0.2, 45487, 284, 184
724361424, 10.0.0.3, 52835, 284, 185
730807499, 10.0.0.3, 52835, 284, 186
732908020, 10.0.0.2, 45487, 284, 187
737297483, 10.0.0.3, 52835, 284, 188
743239989, 10.0.0.2, 45487, 284, 189
743597698, 10.0.0.3, 52835, 284, 190
