tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
3072, 155, 50, 0.987500, 1, 100, 0.057047, 1.653166
3104, 155, 50, 0.987500, 1, 100, 0.061051, 1.649288
3136, 155, 50, 0.987500, 1, 100, 0.051175, 1.660052
3168, 155, 50, 0.987500, 1, 100, 0.054611, 1.659076
3200, 155, 50, 0.987500, 1, 100, 0.048929, 1.660989
3232, 155, 50, 0.987500, 1, 100, 0.044633, 1.667224
3264, 155, 50, 0.987500, 1, 100, 0.049524, 1.662751
3296, 155, 50, 0.987500, 1, 100, 0.048689, 1.660796
3328, 155, 50, 0.987500, 1, 100, 0.051962, 1.657224
3360, 155, 50, 0.987500, 1, 100, 0.045644, 1.664042
3392, 155, 50, 0.987500, 1, 100, 0.047380, 1.661816
3424, 155, 50, 0.987500, 1, 100, 0.045256, 1.663763
3456, 155, 50, 0.987500, 1, 100, 0.053268, 1.656500
3488, 155, 50, 0.987500, 1, 100, 0.051986, 1.654841
3520, 155, 50, 0.987500, 1, 100, 0.040787, 1.669630
3552, 155, 50, 0.987500, 1, 100, 0.044863, 1.662307
3584, 155, 50, 0.987500, 1, 100, 0.047790, 1.666856
3616, 155, 50, 0.987500, 1, 100, 0.046177, 1.662237
3648, 155, 50, 0.987500, 1, 100, 0.046767, 1.661401
3680, 155, 50, 0.987500, 1, 100, 0.043620, 1.662599
3712, 155, 50, 0.987500, 1, 100, 0.041152, 1.670711
3744, 155, 50, 0.987500, 1, 100, 0.042638, 1.663392
3776, 155, 50, 0.987500, 1, 100, 0.046130, 1.667575
3808, 155, 50, 0.987500, 1, 100, 0.040546, 1.665686
3840, 155, 50, 0.987500, 1, 100, 0.043577, 1.666713
3872, 155, 50, 0.987500, 1, 100, 0.046431, 1.663462
3904, 155, 50, 0.987500, 1, 100, 0.043006, 1.668456
3936, 155, 50, 0.987500, 1, 100, 0.040906, 1.669878
3968, 155, 50, 0.987500, 1, 100, 0.040636, 1.664789
4000, 155, 50, 0.987500, 1, 100, 0.039453, 1.666172
4032, 155, 50, 0.987500, 1, 100, 0.043000, 1.664358
4064, 155, 50, 0.987500, 1, 100, 0.039005, 1.668649
4096, 155, 50, 0.987500, 1, 100, 0.037234, 1.666428
