tau,regular_loss,naughty_loss
6848, 0.026319, 1.676228
6880, 0.024077, 1.680544
6912, 0.023218, 1.684026
6944, 0.025129, 1.677522
6976, 0.023385, 1.676914
7008, 0.022593, 1.677711
7040, 0.022945, 1.683092
7072, 0.023946, 1.678990
7104, 0.025713, 1.678322
7136, 0.025318, 1.683102
7168, 0.025751, 1.678223
7200, 0.023262, 1.678166
7232, 0.025125, 1.680245
7264, 0.025587, 1.682506
7296, 0.022581, 1.683440
7328, 0.023849, 1.679930
7360, 0.022878, 1.680449
7392, 0.024483, 1.681005
7424, 0.022798, 1.680703
7456, 0.025344, 1.676160
7488, 0.021796, 1.686182
7520, 0.023700, 1.687042
7552, 0.023336, 1.684160
7584, 0.022937, 1.679792
7616, 0.022848, 1.681994
7648, 0.021607, 1.680793
7680, 0.023745, 1.681192
7712, 0.027312, 1.674050
7744, 0.024012, 1.684352
7776, 0.024959, 1.680923
7808, 0.023522, 1.682700
7840, 0.022387, 1.674289
7872, 0.022381, 1.677849
7904, 0.020830, 1.679007
7936, 0.023425, 1.685666
7968, 0.020098, 1.684122
8000, 0.023232, 1.682470
8032, 0.021958, 1.682893
8064, 0.026876, 1.677020
8096, 0.024437, 1.680887
8128, 0.024399, 1.679304
8160, 0.020477, 1.683794
8192, 0.022627, 1.683158
8224, 0.022838, 1.684002
8256, 0.021278, 1.678229
8288, 0.019586, 1.687659
8320, 0.023356, 1.680611
8352, 0.021505, 1.684979
8384, 0.021022, 1.680767
8416, 0.019936, 1.681815
8448, 0.022278, 1.678160
8480, 0.019883, 1.680679
8512, 0.018563, 1.679299
8544, 0.020431, 1.686504
8576, 0.022270, 1.680502
8608, 0.020077, 1.682345
8640, 0.018277, 1.684916
8672, 0.020109, 1.686139
8704, 0.021593, 1.681064
8736, 0.018729, 1.685727
8768, 0.020300, 1.682299
8800, 0.024819, 1.678609
8832, 0.020594, 1.686718
8864, 0.019758, 1.681696
8896, 0.018235, 1.683700
8928, 0.020963, 1.681564
8960, 0.019777, 1.680756
8992, 0.018351, 1.682701
9024, 0.019159, 1.683536
9056, 0.017913, 1.686866
9088, 0.020748, 1.680780
9120, 0.020214, 1.682951
9152, 0.018105, 1.682314
9184, 0.019780, 1.678433
9216, 0.018636, 1.681970
9248, 0.018364, 1.686340
9280, 0.017349, 1.682532
9312, 0.022254, 1.674978
9344, 0.018143, 1.684425
9376, 0.018394, 1.681640
9408, 0.021623, 1.680560
9440, 0.019656, 1.681700
9472, 0.020961, 1.684208
9504, 0.019899, 1.679945
9536, 0.017082, 1.683826
9568, 0.017185, 1.685510
9600, 0.021012, 1.682719
9632, 0.018269, 1.681025
9664, 0.019831, 1.681267
9696, 0.016948, 1.684893
9728, 0.017794, 1.681834
9760, 0.018577, 1.680533
9792, 0.016969, 1.682825
9824, 0.019330, 1.683576
9856, 0.018120, 1.687450
9888, 0.015850, 1.681393
9920, 0.018211, 1.685770
9952, 0.017170, 1.682326
9984, 0.016240, 1.682725
10016, 0.017718, 1.682093
10048, 0.017261, 1.680758
10080, 0.016550, 1.684765
10112, 0.019320, 1.679770
10144, 0.016111, 1.686984
10176, 0.017530, 1.682497
10208, 0.017035, 1.680815
10240, 0.016872, 1.686204
10272, 0.018961, 1.683229
10304, 0.015425, 1.682555
10336, 0.017893, 1.682990
10368, 0.017892, 1.684568
10400, 0.015805, 1.684538
10432, 0.016554, 1.685335
10464, 0.015963, 1.684374
10496, 0.016080, 1.687788
10528, 0.015396, 1.685882
10560, 0.017944, 1.687121
10592, 0.018500, 1.684483
10624, 0.017099, 1.685039
10656, 0.016423, 1.685284
10688, 0.014565, 1.684081
10720, 0.016002, 1.686664
10752, 0.017080, 1.679567
10784, 0.016491, 1.681927
10816, 0.015664, 1.686978
10848, 0.015971, 1.688378
10880, 0.016979, 1.684439
10912, 0.016825, 1.688434
10944, 0.016913, 1.683116
10976, 0.015733, 1.686996
11008, 0.017438, 1.688457
11040, 0.015861, 1.687464
11072, 0.017615, 1.687667
11104, 0.015881, 1.687399
11136, 0.014498, 1.686915
11168, 0.018396, 1.687859
11200, 0.017628, 1.683678
11232, 0.020421, 1.681259
11264, 0.016216, 1.682075
11296, 0.017457, 1.683902
11328, 0.016241, 1.689613
11360, 0.015513, 1.686909
11392, 0.016061, 1.683811
11424, 0.017703, 1.686085
11456, 0.016330, 1.681058
11488, 0.018502, 1.687545
11520, 0.017809, 1.680951
11552, 0.015207, 1.688764
11584, 0.015002, 1.686176
11616, 0.014588, 1.683129
11648, 0.014017, 1.683261
11680, 0.017088, 1.685213
11712, 0.016787, 1.687232
11744, 0.015237, 1.684612
11776, 0.014195, 1.687766
11808, 0.014565, 1.685464
11840, 0.014680, 1.688334
11872, 0.014179, 1.683804
11904, 0.014579, 1.688696
11936, 0.014088, 1.688727
11968, 0.013598, 1.688585
12000, 0.014251, 1.686693
12032, 0.015290, 1.686267
12064, 0.013646, 1.683566
12096, 0.012804, 1.686326
12128, 0.014577, 1.688723
12160, 0.014850, 1.690148
12192, 0.013958, 1.680831
12224, 0.015601, 1.683940
12256, 0.016208, 1.687783
12288, 0.015927, 1.689799
12320, 0.017235, 1.687893
12352, 0.014410, 1.689579
12384, 0.015517, 1.689969
12416, 0.014234, 1.691681
12448, 0.015341, 1.683256
12480, 0.015149, 1.688773
12512, 0.013726, 1.687506
12544, 0.013308, 1.684055
12576, 0.013643, 1.682794
12608, 0.014897, 1.688525
