tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
20480, 0.249039, 3.133686, 0.249039, 3.266359
22528, 0.229731, 3.148914, 0.229731, 3.280745
24576, 0.210363, 3.159795, 0.210363, 3.297650
26624, 0.197753, 3.193856, 0.197753, 3.329340
28672, 0.184949, 3.185985, 0.184949, 3.320512
30720, 0.172408, 3.172015, 0.172408, 3.307857
32768, 0.168942, 3.202240, 0.168942, 3.335975
34816, 0.154836, 3.184987, 0.154836, 3.319568
36864, 0.151356, 3.215104, 0.151356, 3.350707
38912, 0.143640, 3.209889, 0.143640, 3.342452
40960, 0.137002, 3.207465, 0.137002, 3.344608
43008, 0.132387, 3.220287, 0.132387, 3.352830
45056, 0.129085, 3.255454, 0.129085, 3.392591
47104, 0.119194, 3.223278, 0.119194, 3.356739
49152, 0.119360, 3.245097, 0.119360, 3.378622
51200, 0.114668, 3.229901, 0.114668, 3.362246
0, 1.891886, 1.868592, 1.891892, 2.023491
2048, 1.321853, 2.282620, 1.321853, 2.434959
4096, 0.914876, 2.600569, 0.914876, 2.754032
6144, 0.695723, 2.795449, 0.695723, 2.948649
8192, 0.549151, 2.871758, 0.549151, 3.023586
10240, 0.458765, 2.946546, 0.458770, 3.099796
12288, 0.402047, 3.031561, 0.402047, 3.182297
14336, 0.347045, 3.032589, 0.347045, 3.186475
16384, 0.312619, 3.075570, 0.312619, 3.227806
18432, 0.278406, 3.077446, 0.278406, 3.227276
20480, 0.256870, 3.121116, 0.256870, 3.273160
22528, 0.235776, 3.134991, 0.235776, 3.290016
24576, 0.218235, 3.141586, 0.218237, 3.295128
26624, 0.204577, 3.154739, 0.204577, 3.306680
28672, 0.193905, 3.171993, 0.193905, 3.323549
30720, 0.183614, 3.193708, 0.183614, 3.345638
32768, 0.173623, 3.210333, 0.173623, 3.365076
34816, 0.165674, 3.212209, 0.165674, 3.364197
36864, 0.153518, 3.184830, 0.153518, 3.336003
38912, 0.145611, 3.190976, 0.145611, 3.342176
40960, 0.144702, 3.251338, 0.144702, 3.408282
43008, 0.134884, 3.194381, 0.134884, 3.348111
45056, 0.130546, 3.208415, 0.130546, 3.361752
47104, 0.125726, 3.209409, 0.125726, 3.361966
49152, 0.118977, 3.212634, 0.118977, 3.366068
51200, 0.116428, 3.220084, 0.116428, 3.371446
0, 1.881201, 1.855216, 1.881201, 2.031544
2048, 1.344065, 2.265992, 1.344065, 2.441572
4096, 0.932504, 2.567532, 0.932504, 2.742179
6144, 0.707690, 2.750866, 0.707703, 2.924480
8192, 0.572432, 2.890623, 0.572432, 3.064139
10240, 0.475524, 2.940122, 0.475524, 3.110987
12288, 0.407002, 2.984036, 0.407002, 3.158081
14336, 0.358631, 3.018325, 0.358631, 3.190577
16384, 0.322453, 3.066982, 0.322453, 3.241460
18432, 0.287586, 3.078188, 0.287586, 3.252924
20480, 0.262853, 3.102408, 0.262853, 3.275091
22528, 0.241416, 3.111807, 0.241418, 3.286449
24576, 0.229157, 3.140708, 0.229160, 3.314756
26624, 0.212025, 3.147725, 0.212025, 3.321881
28672, 0.197116, 3.157908, 0.197116, 3.331487
30720, 0.187228, 3.177576, 0.187228, 3.354563
32768, 0.174594, 3.169693, 0.174594, 3.343261
34816, 0.166603, 3.172494, 0.166603, 3.344393
36864, 0.161456, 3.194312, 0.161456, 3.369518
38912, 0.151871, 3.184959, 0.151871, 3.354765
40960, 0.145966, 3.196869, 0.145966, 3.371200
43008, 0.140197, 3.212902, 0.140205, 3.391648
45056, 0.135390, 3.214621, 0.135390, 3.389384
47104, 0.130141, 3.229775, 0.130141, 3.403703
49152, 0.127786, 3.226845, 0.127786, 3.400243
51200, 0.120574, 3.211686, 0.120574, 3.382637
0, 1.865989, 1.838468, 1.865989, 2.037053
2048, 1.366344, 2.250463, 1.366346, 2.447266
4096, 0.955244, 2.551190, 0.955244, 2.750479
6144, 0.728630, 2.743018, 0.728638, 2.940802
8192, 0.586297, 2.850989, 0.586303, 3.046714
10240, 0.490535, 2.915634, 0.490535, 3.112287
12288, 0.426677, 2.994858, 0.426679, 3.193647
14336, 0.367484, 3.003470, 0.367484, 3.198352
16384, 0.328866, 3.030780, 0.328866, 3.226519
18432, 0.298840, 3.061306, 0.298855, 3.258679
20480, 0.271859, 3.078608, 0.271862, 3.273754
22528, 0.253358, 3.100249, 0.253358, 3.294381
24576, 0.236699, 3.143129, 0.236706, 3.339113
26624, 0.217397, 3.131211, 0.217397, 3.326233
28672, 0.206700, 3.141372, 0.206712, 3.338561
30720, 0.193480, 3.161480, 0.193480, 3.358403
32768, 0.179576, 3.145849, 0.179576, 3.345322
34816, 0.170199, 3.160505, 0.170199, 3.354291
36864, 0.165332, 3.180239, 0.165332, 3.377677
38912, 0.156764, 3.171426, 0.156767, 3.370263
40960, 0.151388, 3.194959, 0.151388, 3.391506
43008, 0.142510, 3.173060, 0.142510, 3.371380
45056, 0.137771, 3.181166, 0.137771, 3.382790
47104, 0.133243, 3.186961, 0.133243, 3.383800
49152, 0.126890, 3.177480, 0.126890, 3.373751
51200, 0.121302, 3.193405, 0.121302, 3.390638
0, 1.876438, 1.840698, 1.876438, 2.065519
2048, 1.371996, 2.207662, 1.371996, 2.435661
