tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.041427, 1.767855, 0.042545, 3.040724
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.039674, 1.766091, 0.040910, 3.036246
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.039672, 1.780390, 0.040876, 3.053953
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.038728, 1.770454, 0.040085, 3.037427
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.037008, 1.777123, 0.038159, 3.052914
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.865994, 0.959304, 0.867199, 2.238348
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.432270, 1.291922, 0.433574, 2.567313
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.268757, 1.443261, 0.269870, 2.725577
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.190275, 1.475477, 0.191495, 2.743268
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.152679, 1.539021, 0.153913, 2.817474
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.123509, 1.536143, 0.124647, 2.808784
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.106959, 1.554506, 0.108209, 2.826953
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.093966, 1.564489, 0.095159, 2.835440
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.083351, 1.572778, 0.084457, 2.849490
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.075545, 1.586358, 0.076761, 2.860059
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.069080, 1.599190, 0.070187, 2.875098
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.064616, 1.590336, 0.065893, 2.862469
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.059696, 1.594406, 0.060828, 2.862753
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.056831, 1.601384, 0.057980, 2.878433
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.051592, 1.587692, 0.052796, 2.858059
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.050394, 1.602910, 0.051621, 2.878573
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.046815, 1.610206, 0.048089, 2.889203
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.045535, 1.616999, 0.046705, 2.889952
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.043592, 1.612681, 0.044848, 2.883320
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.041487, 1.611768, 0.042708, 2.884665
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.039948, 1.612508, 0.041248, 2.886244
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.038419, 1.607133, 0.039594, 2.879155
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.035689, 1.589999, 0.036887, 2.858458
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.034564, 1.612750, 0.035801, 2.887096
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.034814, 1.619921, 0.035978, 2.889644
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.003000, 0.034948, 1.629772, 0.036131, 2.896051
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.781612, 0.863070, 0.782869, 2.146780
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.396646, 1.168967, 0.397956, 2.452219
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.240385, 1.281077, 0.241593, 2.560267
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.175559, 1.339784, 0.176760, 2.617513
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.137049, 1.366251, 0.138125, 2.637222
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.115784, 1.396938, 0.117137, 2.674989
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.097037, 1.405119, 0.098277, 2.678744
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.085261, 1.410259, 0.086414, 2.686446
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.076974, 1.435036, 0.078254, 2.719815
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.069007, 1.428910, 0.070170, 2.707453
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.063100, 1.431068, 0.064274, 2.702287
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.058154, 1.428704, 0.059506, 2.706658
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.054445, 1.448054, 0.055638, 2.721830
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.051283, 1.443134, 0.052574, 2.718084
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.047822, 1.454166, 0.048993, 2.730341
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.044237, 1.432078, 0.045501, 2.706323
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.042642, 1.443410, 0.043863, 2.713687
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.040740, 1.444604, 0.041885, 2.722370
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.039417, 1.451223, 0.040658, 2.726816
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.038191, 1.460056, 0.039325, 2.731570
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.035877, 1.451353, 0.037076, 2.728602
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.034964, 1.457150, 0.036111, 2.735830
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.033823, 1.449840, 0.035032, 2.725135
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.031862, 1.440691, 0.032957, 2.719839
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.032574, 1.464089, 0.033811, 2.740969
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.004000, 0.030031, 1.451368, 0.031453, 2.731141
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.701513, 0.775537, 0.702735, 2.060005
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.352792, 1.040322, 0.353986, 2.321583
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.217747, 1.152578, 0.218945, 2.431365
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.157197, 1.196427, 0.158451, 2.476464
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.123833, 1.229535, 0.125070, 2.513396
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.103765, 1.245434, 0.104851, 2.528012
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.088908, 1.256928, 0.090092, 2.536089
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.077222, 1.267328, 0.078489, 2.547990
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.068748, 1.262353, 0.069888, 2.542388
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.061508, 1.274848, 0.062614, 2.557099
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.058191, 1.291768, 0.059323, 2.569148
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.050421, 1.259159, 0.051687, 2.539293
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.047844, 1.271778, 0.049079, 2.551007
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.044929, 1.286154, 0.046081, 2.561482
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.043334, 1.288118, 0.044525, 2.564403
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.040347, 1.293553, 0.041614, 2.568381
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.037883, 1.275984, 0.039100, 2.548140
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.036667, 1.295122, 0.037885, 2.572281
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.035324, 1.293203, 0.036471, 2.570185
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.033360, 1.297340, 0.034704, 2.574284
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.032515, 1.295775, 0.033855, 2.568500
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.031210, 1.299945, 0.032613, 2.577130
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.030341, 1.293902, 0.031615, 2.573911
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.028708, 1.289408, 0.029934, 2.570720
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.027579, 1.298734, 0.028803, 2.576760
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.005000, 0.027229, 1.292307, 0.028486, 2.569588
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.609676, 0.672717, 0.610999, 1.953549
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.313416, 0.922663, 0.314573, 2.200080
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.196999, 1.030312, 0.198237, 2.316541
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.140235, 1.053697, 0.141501, 2.331183
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.111583, 1.080864, 0.112863, 2.357163
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.090764, 1.085972, 0.091858, 2.359491
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.078537, 1.110339, 0.079712, 2.396557
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.068691, 1.120209, 0.069894, 2.410706
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.060539, 1.108592, 0.061935, 2.387036
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.054596, 1.124893, 0.055819, 2.407804
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.052016, 1.139000, 0.053192, 2.418280
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.045859, 1.120044, 0.047071, 2.398439
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.043320, 1.136217, 0.044589, 2.413449
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.039957, 1.119725, 0.041233, 2.398307
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.039547, 1.156273, 0.040718, 2.437073
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.036492, 1.144215, 0.037742, 2.429229
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.033835, 1.137138, 0.035002, 2.410284
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.033461, 1.154129, 0.034634, 2.436753
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.030881, 1.134939, 0.032132, 2.417781
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.030370, 1.150397, 0.031653, 2.428375
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.029392, 1.156969, 0.030609, 2.435852
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.027994, 1.155083, 0.029207, 2.435956
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.027844, 1.161293, 0.029059, 2.440771
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.026832, 1.157208, 0.028068, 2.436721
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.025160, 1.143073, 0.026241, 2.427894
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.006000, 0.025008, 1.151858, 0.026362, 2.431330
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.544205, 0.599816, 0.545442, 1.890896
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.274719, 0.803490, 0.275878, 2.086724
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.168407, 0.875876, 0.169559, 2.154724
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.123220, 0.920366, 0.124515, 2.205329
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.096763, 0.939337, 0.097968, 2.218074
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.080051, 0.951235, 0.081261, 2.230213
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.068286, 0.967875, 0.069485, 2.242856
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.059012, 0.959761, 0.060197, 2.237356
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.054502, 0.985961, 0.055792, 2.268448
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.049227, 0.986476, 0.050426, 2.267655
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.045300, 0.999458, 0.046547, 2.285291
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.041989, 0.995789, 0.043309, 2.276793
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.039236, 1.003816, 0.040417, 2.284748
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.007000, 0.036440, 0.998742, 0.037689, 2.280597
