tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,average_loss_pure,average_loss_all
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.987155, 1.622563
31232, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.991399, 1.627337
31744, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.991606, 1.627320
32256, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.987272, 1.621361
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.998863, 1.634865
33280, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.978319, 1.610522
33792, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.990575, 1.623485
34304, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.999425, 1.636128
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.989830, 1.622392
35328, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.994424, 1.631036
35840, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.986036, 1.621742
36352, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.996790, 1.631153
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.986342, 1.620273
37376, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.992231, 1.626006
37888, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.996026, 1.628572
38400, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.994574, 1.630091
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.993360, 1.627331
39424, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.993985, 1.628709
39936, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.987306, 1.622425
40448, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.992053, 1.624430
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.994362, 1.632355
41472, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.001278, 1.640206
41984, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.990672, 1.627396
42496, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.991163, 1.629066
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.992278, 1.627488
43520, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.995344, 1.630220
44032, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.988388, 1.622226
44544, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.992728, 1.628776
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.989451, 1.623250
45568, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.987112, 1.622128
46080, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.995868, 1.628292
46592, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.997428, 1.631895
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.985325, 1.621909
47616, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.988997, 1.624426
48128, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.990961, 1.627397
48640, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.988122, 1.622026
49152, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.001560, 1.637234
49664, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.992100, 1.626523
50176, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.991251, 1.628344
50688, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.999203, 1.632892
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.996908, 1.630599
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 1.012494, 1.654367
512, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.994133, 1.634017
1024, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.981898, 1.620789
1536, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.965282, 1.605924
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.951323, 1.590543
2560, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.960620, 1.600828
3072, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.949914, 1.589595
3584, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.936576, 1.573499
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.939412, 1.580348
4608, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.934549, 1.574591
5120, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.919672, 1.555193
5632, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.933660, 1.570446
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.928379, 1.566096
6656, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.932264, 1.569570
7168, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.923832, 1.564570
7680, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.926438, 1.563547
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.916561, 1.553289
8704, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.918026, 1.554843
9216, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.919281, 1.556289
9728, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.926294, 1.564398
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.922896, 1.560742
10752, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.920358, 1.556382
11264, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.907912, 1.544804
11776, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.923502, 1.562089
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.922712, 1.558775
12800, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.920469, 1.557622
13312, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.914672, 1.550202
13824, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.916610, 1.556455
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.916081, 1.551698
14848, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911383, 1.551452
15360, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.915754, 1.554929
15872, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908085, 1.545518
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.918719, 1.556433
16896, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911557, 1.547709
17408, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.904088, 1.542245
17920, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.915674, 1.551451
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.904833, 1.539000
18944, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.906240, 1.544186
19456, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.916987, 1.551065
19968, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911805, 1.547885
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.919151, 1.556755
20992, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.909556, 1.546697
21504, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.913060, 1.550439
22016, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911126, 1.547846
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.915873, 1.553116
23040, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.907204, 1.545352
23552, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.908916, 1.545801
24064, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.907644, 1.543482
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.911830, 1.549183
25088, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.912278, 1.547025
25600, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.905987, 1.538891
26112, 155, 50, 0.500000, 0.500000, 10, 100, 1.002000, 0.906037, 1.536655
