tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
17920, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225891
18176, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.223808
18432, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226051
18688, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224730
18944, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226715
19200, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225399
19456, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.227545
19712, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225392
19968, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226633
20224, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225853
20480, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225872
20736, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225934
20992, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225366
21248, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225679
21504, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224743
21760, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.227619
22016, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224368
22272, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226602
22528, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226308
22784, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225210
23040, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224844
23296, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226328
23552, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226248
23808, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225763
24064, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226380
24320, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226105
24576, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226583
24832, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225236
25088, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225504
