5120, 0.102659, 0.294794, 0.326914, 4.685481
5120, 0.015702, 0.041183, 0.240615, 7.791665
5120, 0.015074, 0.041161, 0.239161, 7.795838
5120, 0.101001, 0.289797, 0.325983, 4.665063
5120, 0.293981, 0.921669, 0.521478, 3.454128
0, 0.638149, 0.616109, 0.860926, 3.157679
10240, 0.159762, 2.021145, 0.160925, 3.291740
20480, 0.089507, 2.078026, 0.090662, 3.345325
20480, 0.087805, 1.048335, 0.314464, 3.578253
51200, 0.153769, 7.377182, 0.155063, 9.745367
0, 1.849788, 1.829791, 1.849788, 2.019394
2048, 1.285068, 2.261392, 1.285068, 2.446952
4096, 0.878557, 2.581879, 0.878557, 2.770208
6144, 0.662192, 2.755786, 0.662192, 2.941040
8192, 0.528582, 2.859932, 0.528582, 3.047673
10240, 0.450287, 2.963186, 0.450287, 3.150425
12288, 0.379101, 2.971635, 0.379104, 3.158099
14336, 0.330937, 3.000717, 0.330937, 3.186747
16384, 0.296494, 3.036956, 0.296497, 3.223967
18432, 0.271344, 3.087743, 0.271349, 3.276406
20480, 0.245865, 3.098076, 0.245865, 3.288833
22528, 0.225827, 3.097510, 0.225827, 3.283823
24576, 0.211757, 3.134482, 0.211757, 3.323448
26624, 0.196043, 3.132253, 0.196043, 3.316408
30720, 0.171864, 3.148689, 0.171864, 3.335581
32768, 0.164671, 3.151921, 0.164673, 3.341641
34816, 0.153741, 3.138145, 0.153741, 3.326685
36864, 0.149251, 3.163479, 0.149251, 3.352248
38912, 0.142347, 3.177809, 0.142347, 3.363830
40960, 0.132606, 3.154654, 0.132606, 3.341873
43008, 0.128362, 3.165395, 0.128362, 3.351617
45056, 0.127019, 3.183041, 0.127021, 3.368830
47104, 0.119212, 3.164451, 0.119215, 3.350977
49152, 0.113631, 3.164096, 0.113631, 3.353029
51200, 0.112476, 3.190412, 0.112476, 3.376981
0, 1.850705, 1.828300, 1.850705, 2.044459
2048, 1.311806, 2.251814, 1.311806, 2.461911
4096, 0.905958, 2.570067, 0.905958, 2.781479
6144, 0.676397, 2.718363, 0.676397, 2.928428
8192, 0.544221, 2.833791, 0.544229, 3.047450
10240, 0.450408, 2.892965, 0.450408, 3.104160
12288, 0.394981, 2.970993, 0.394983, 3.184390
14336, 0.344655, 3.012169, 0.344655, 3.226218
16384, 0.305587, 3.020909, 0.305589, 3.228233
18432, 0.276364, 3.050878, 0.276368, 3.265116
20480, 0.252808, 3.066469, 0.252815, 3.276330
22528, 0.230821, 3.066500, 0.230821, 3.274914
24576, 0.211181, 3.075111, 0.211181, 3.287632
26624, 0.200679, 3.080920, 0.200682, 3.289621
28672, 0.185620, 3.091123, 0.185634, 3.300555
