tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
15360, 155, 50, 0.500000, 0.500000, 10, 100, 0.111840, 2.034899, 0.112990, 3.299907
15616, 155, 50, 0.500000, 0.500000, 10, 100, 0.110317, 2.045321, 0.111571, 3.312813
15872, 155, 50, 0.500000, 0.500000, 10, 100, 0.110816, 2.071575, 0.112072, 3.342886
16128, 155, 50, 0.500000, 0.500000, 10, 100, 0.109386, 2.070997, 0.110585, 3.343519
16384, 155, 50, 0.500000, 0.500000, 10, 100, 0.107362, 2.062212, 0.108603, 3.333763
16640, 155, 50, 0.500000, 0.500000, 10, 100, 0.104768, 2.056534, 0.106052, 3.326415
16896, 155, 50, 0.500000, 0.500000, 10, 100, 0.105206, 2.065770, 0.106384, 3.335457
17152, 155, 50, 0.500000, 0.500000, 10, 100, 0.103145, 2.068356, 0.104355, 3.342110
17408, 155, 50, 0.500000, 0.500000, 10, 100, 0.101775, 2.070705, 0.102816, 3.341941
17664, 155, 50, 0.500000, 0.500000, 10, 100, 0.102072, 2.073554, 0.103326, 3.343494
17920, 155, 50, 0.500000, 0.500000, 10, 100, 0.098149, 2.057699, 0.099343, 3.324107
18176, 155, 50, 0.500000, 0.500000, 10, 100, 0.099321, 2.076484, 0.100506, 3.344023
18432, 155, 50, 0.500000, 0.500000, 10, 100, 0.096661, 2.057715, 0.097939, 3.323336
18688, 155, 50, 0.500000, 0.500000, 10, 100, 0.096580, 2.077978, 0.097793, 3.342081
18944, 155, 50, 0.500000, 0.500000, 10, 100, 0.093260, 2.067275, 0.094477, 3.331166
19200, 155, 50, 0.500000, 0.500000, 10, 100, 0.092005, 2.066519, 0.093059, 3.337526
19456, 155, 50, 0.500000, 0.500000, 10, 100, 0.093362, 2.081343, 0.094609, 3.346397
19712, 155, 50, 0.500000, 0.500000, 10, 100, 0.091989, 2.078436, 0.093145, 3.344358
19968, 155, 50, 0.500000, 0.500000, 10, 100, 0.090265, 2.071864, 0.091333, 3.339515
20224, 155, 50, 0.500000, 0.500000, 10, 100, 0.090556, 2.086334, 0.091785, 3.356976
20480, 155, 50, 0.500000, 0.500000, 10, 100, 0.089933, 2.083977, 0.091093, 3.354157
20736, 155, 50, 0.500000, 0.500000, 10, 100, 0.088534, 2.083924, 0.089776, 3.348574
20992, 155, 50, 0.500000, 0.500000, 10, 100, 0.088163, 2.098553, 0.089475, 3.368059
21248, 155, 50, 0.500000, 0.500000, 10, 100, 0.086188, 2.077138, 0.087390, 3.347402
21504, 155, 50, 0.500000, 0.500000, 10, 100, 0.084254, 2.061301, 0.085577, 3.324635
21760, 155, 50, 0.500000, 0.500000, 10, 100, 0.084842, 2.090771, 0.085974, 3.360858
22016, 155, 50, 0.500000, 0.500000, 10, 100, 0.082346, 2.081049, 0.083652, 3.350189
22272, 155, 50, 0.500000, 0.500000, 10, 100, 0.082286, 2.087432, 0.083452, 3.358769
22528, 155, 50, 0.500000, 0.500000, 10, 100, 0.081831, 2.075971, 0.083023, 3.342438
22784, 155, 50, 0.500000, 0.500000, 10, 100, 0.081894, 2.081789, 0.083030, 3.348330
23040, 155, 50, 0.500000, 0.500000, 10, 100, 0.080832, 2.090104, 0.082040, 3.357309
23296, 155, 50, 0.500000, 0.500000, 10, 100, 0.080167, 2.085539, 0.081406, 3.350593
23552, 155, 50, 0.500000, 0.500000, 10, 100, 0.081114, 2.098023, 0.082312, 3.362983
23808, 155, 50, 0.500000, 0.500000, 10, 100, 0.078602, 2.093078, 0.079880, 3.364245
24064, 155, 50, 0.500000, 0.500000, 10, 100, 0.076208, 2.079895, 0.077425, 3.348560
24320, 155, 50, 0.500000, 0.500000, 10, 100, 0.077115, 2.092339, 0.078390, 3.363990
24576, 155, 50, 0.500000, 0.500000, 10, 100, 0.077150, 2.095179, 0.078369, 3.367005
24832, 155, 50, 0.500000, 0.500000, 10, 100, 0.075477, 2.087164, 0.076680, 3.354982
25088, 155, 50, 0.500000, 0.500000, 10, 100, 0.075377, 2.088516, 0.076655, 3.355874
25344, 155, 50, 0.500000, 0.500000, 10, 100, 0.074929, 2.083939, 0.076104, 3.351412
25600, 155, 50, 0.500000, 0.500000, 10, 100, 0.073297, 2.084809, 0.074504, 3.352363
25856, 155, 50, 0.500000, 0.500000, 10, 100, 0.073524, 2.086811, 0.074755, 3.355751
26112, 155, 50, 0.500000, 0.500000, 10, 100, 0.072049, 2.090514, 0.073298, 3.359175
26368, 155, 50, 0.500000, 0.500000, 10, 100, 0.070518, 2.079127, 0.071682, 3.343634
26624, 155, 50, 0.500000, 0.500000, 10, 100, 0.071267, 2.089848, 0.072440, 3.356432
26880, 155, 50, 0.500000, 0.500000, 10, 100, 0.069181, 2.077044, 0.070388, 3.350576
27136, 155, 50, 0.500000, 0.500000, 10, 100, 0.070313, 2.095803, 0.071511, 3.364078
27392, 155, 50, 0.500000, 0.500000, 10, 100, 0.070083, 2.093988, 0.071353, 3.359783
27648, 155, 50, 0.500000, 0.500000, 10, 100, 0.069684, 2.095217, 0.070880, 3.360490
27904, 155, 50, 0.500000, 0.500000, 10, 100, 0.069568, 2.093248, 0.070814, 3.360477
28160, 155, 50, 0.500000, 0.500000, 10, 100, 0.068014, 2.095418, 0.069209, 3.363822
28416, 155, 50, 0.500000, 0.500000, 10, 100, 0.068422, 2.101716, 0.069605, 3.371733
28672, 155, 50, 0.500000, 0.500000, 10, 100, 0.067799, 2.091004, 0.069118, 3.359355
28928, 155, 50, 0.500000, 0.500000, 10, 100, 0.066237, 2.088352, 0.067364, 3.353469
29184, 155, 50, 0.500000, 0.500000, 10, 100, 0.066112, 2.087717, 0.067342, 3.359821
29440, 155, 50, 0.500000, 0.500000, 10, 100, 0.065902, 2.103651, 0.067031, 3.372629
29696, 155, 50, 0.500000, 0.500000, 10, 100, 0.065543, 2.107880, 0.066699, 3.381708
29952, 155, 50, 0.500000, 0.500000, 10, 100, 0.065840, 2.117279, 0.067105, 3.389424
30208, 155, 50, 0.500000, 0.500000, 10, 100, 0.065919, 2.114400, 0.067186, 3.384192
30464, 155, 50, 0.500000, 0.500000, 10, 100, 0.062984, 2.097129, 0.064268, 3.363389
30720, 155, 50, 0.500000, 0.500000, 10, 100, 0.062341, 2.081745, 0.063604, 3.345808
30976, 155, 50, 0.500000, 0.500000, 10, 100, 0.063501, 2.085269, 0.064872, 3.349698
31232, 155, 50, 0.500000, 0.500000, 10, 100, 0.063173, 2.098929, 0.064541, 3.365647
31488, 155, 50, 0.500000, 0.500000, 10, 100, 0.063209, 2.104286, 0.064486, 3.374725
31744, 155, 50, 0.500000, 0.500000, 10, 100, 0.061947, 2.091777, 0.063128, 3.358128
32000, 155, 50, 0.500000, 0.500000, 10, 100, 0.061310, 2.100019, 0.062671, 3.373719
32256, 155, 50, 0.500000, 0.500000, 10, 100, 0.061496, 2.101466, 0.062672, 3.373181
32512, 155, 50, 0.500000, 0.500000, 10, 100, 0.061103, 2.098990, 0.062258, 3.365100
32768, 155, 50, 0.500000, 0.500000, 10, 100, 0.058572, 2.091966, 0.059859, 3.361135
33024, 155, 50, 0.500000, 0.500000, 10, 100, 0.058736, 2.086018, 0.059920, 3.355286
33280, 155, 50, 0.500000, 0.500000, 10, 100, 0.060526, 2.102209, 0.061717, 3.363762
33536, 155, 50, 0.500000, 0.500000, 10, 100, 0.058170, 2.083795, 0.059405, 3.345837
33792, 155, 50, 0.500000, 0.500000, 10, 100, 0.059463, 2.090949, 0.060750, 3.354563
34048, 155, 50, 0.500000, 0.500000, 10, 100, 0.059848, 2.107998, 0.060905, 3.378963
34304, 155, 50, 0.500000, 0.500000, 10, 100, 0.058722, 2.103035, 0.059889, 3.372815
34560, 155, 50, 0.500000, 0.500000, 10, 100, 0.058315, 2.093158, 0.059607, 3.360151
34816, 155, 50, 0.500000, 0.500000, 10, 100, 0.057197, 2.099163, 0.058441, 3.367323
35072, 155, 50, 0.500000, 0.500000, 10, 100, 0.058382, 2.108846, 0.059631, 3.371719
35328, 155, 50, 0.500000, 0.500000, 10, 100, 0.057721, 2.113019, 0.058934, 3.380901
35584, 155, 50, 0.500000, 0.500000, 10, 100, 0.056233, 2.095502, 0.057513, 3.360840
35840, 155, 50, 0.500000, 0.500000, 10, 100, 0.055136, 2.088973, 0.056357, 3.356081
36096, 155, 50, 0.500000, 0.500000, 10, 100, 0.055744, 2.091040, 0.056908, 3.351478
36352, 155, 50, 0.500000, 0.500000, 10, 100, 0.055498, 2.086449, 0.056700, 3.351344
