tau,regular_loss,naughty_loss
1760, 0.546083, 1.384438
1760, 1.010741, 1.045950
1760, 1.135227, 1.074471
1760, 1.314884, 1.193368
1792, 0.482304, 1.431422
1792, 1.012618, 1.049375
1792, 1.135384, 1.075951
1792, 1.325070, 1.200941
1824, 0.468952, 1.449439
1824, 1.003184, 1.049851
1824, 1.129211, 1.071631
1824, 1.330072, 1.200855
1856, 0.487587, 1.431184
1856, 0.999534, 1.047525
1856, 1.137026, 1.081922
1856, 1.303879, 1.180633
1888, 0.403388, 1.497489
1888, 0.996885, 1.047387
1888, 1.135563, 1.080922
1888, 1.333894, 1.209560
1920, 0.353092, 1.542476
1920, 0.995712, 1.050032
1920, 1.129010, 1.076185
1920, 1.373163, 1.231046
1952, 0.409038, 1.491652
1952, 0.998170, 1.060307
1952, 1.114135, 1.065727
1952, 1.331058, 1.203842
1984, 0.400626, 1.491945
1984, 0.990801, 1.050282
1984, 1.113351, 1.064779
1984, 1.342220, 1.205631
2016, 0.361746, 1.534108
2016, 0.995045, 1.057600
2016, 1.125851, 1.082456
2016, 1.316147, 1.184030
2048, 0.387275, 1.510457
2048, 0.988736, 1.058742
2048, 1.124718, 1.082422
2048, 1.307808, 1.189227
2080, 0.378974, 1.523986
2080, 0.989520, 1.060821
2080, 1.121326, 1.077755
2080, 1.347801, 1.220963
2112, 0.347213, 1.554358
2112, 0.990118, 1.065786
2112, 1.108583, 1.070498
2112, 1.320618, 1.190969
2144, 0.333224, 1.578027
2144, 0.997532, 1.067869
2144, 1.124800, 1.082881
2144, 1.338906, 1.209644
2176, 0.363137, 1.543431
2176, 0.979926, 1.076313
2176, 1.116367, 1.079557
2176, 1.306109, 1.187279
2208, 0.360994, 1.536135
2208, 0.976464, 1.068899
2208, 1.117186, 1.085274
2208, 1.345563, 1.215527
2240, 0.327398, 1.592624
2240, 0.974644, 1.069663
2240, 1.132973, 1.102028
2240, 1.329243, 1.208836
2272, 0.329733, 1.562239
2272, 0.974867, 1.077368
2272, 1.109446, 1.078560
2272, 1.377190, 1.246302
2304, 0.324596, 1.578568
2304, 0.957703, 1.067856
2304, 1.114598, 1.088895
2304, 1.324219, 1.196078
2336, 0.337338, 1.560931
2336, 0.972081, 1.076469
2336, 1.108466, 1.081446
2336, 1.366088, 1.221507
2368, 0.341396, 1.567071
2368, 0.976325, 1.085242
2368, 1.134571, 1.108765
2368, 1.329080, 1.199945
2400, 0.335015, 1.578230
2400, 0.953967, 1.076146
2400, 1.106885, 1.084282
2400, 1.331838, 1.208083
2432, 0.320819, 1.586448
2432, 0.961896, 1.075209
2432, 1.108429, 1.089033
2432, 1.326776, 1.199401
2464, 0.387101, 1.509545
2464, 0.963725, 1.082331
2464, 1.113906, 1.093434
2464, 1.324621, 1.196958
2496, 0.317459, 1.579671
2496, 0.959753, 1.097295
2496, 1.096211, 1.079359
2496, 1.335033, 1.207873
2528, 0.322983, 1.589888
2528, 0.959762, 1.089729
2528, 1.093186, 1.082278
2528, 1.330482, 1.195887
2560, 0.319800, 1.579994
2560, 0.951122, 1.088651
2560, 1.092559, 1.085772
2560, 1.323496, 1.200149
