tau, regular_loss, naughty_loss
1204224, 0.002058, 0.125236
1205248, 0.001267, 0.074603
1206272, 0.001287, 0.068821
1207296, 0.001231, 0.069706
1208320, 0.001568, 0.086329
1209344, 0.002019, 0.119798
1210368, 0.001360, 0.074891
1211392, 0.001119, 0.057737
1212416, 0.001648, 0.099693
1213440, 0.001233, 0.074064
1214464, 0.001601, 0.092081
1215488, 0.001820, 0.111606
1216512, 0.001085, 0.061339
1217536, 0.002182, 0.138600
1218560, 0.002461, 0.148867
1219584, 0.001432, 0.079577
1220608, 0.001106, 0.065750
1221632, 0.001423, 0.077718
1222656, 0.001163, 0.064019
1223680, 0.001053, 0.063561
1224704, 0.001155, 0.068331
1225728, 0.001074, 0.060660
1226752, 0.001622, 0.092721
1227776, 0.002050, 0.129044
1228800, 0.001266, 0.077087
1229824, 0.001298, 0.078367
1230848, 0.001796, 0.104219
1231872, 0.001049, 0.065769
1232896, 0.000776, 0.043979
1233920, 0.002040, 0.130395
1234944, 0.001521, 0.088694
1235968, 0.001793, 0.114847
1236992, 0.001881, 0.113773
1238016, 0.000932, 0.055226
1239040, 0.001293, 0.077056
1240064, 0.001090, 0.062567
1241088, 0.001243, 0.068051
1242112, 0.000885, 0.052615
1243136, 0.001599, 0.104606
1244160, 0.001451, 0.082190
1245184, 0.001176, 0.071627
1246208, 0.001417, 0.081226
1247232, 0.001724, 0.106474
1248256, 0.001993, 0.132934
1249280, 0.001659, 0.098433
1250304, 0.002038, 0.123597
1251328, 0.001848, 0.125593
1252352, 0.001490, 0.092073
1253376, 0.000963, 0.058779
1254400, 0.001145, 0.070137
1255424, 0.002492, 0.172165
1256448, 0.001118, 0.066828
1257472, 0.001173, 0.072119
1258496, 0.001261, 0.076722
1259520, 0.001597, 0.098999
1260544, 0.001336, 0.081853
1261568, 0.001119, 0.070743
1262592, 0.001365, 0.086956
1263616, 0.001139, 0.076893
1264640, 0.000823, 0.053917
1265664, 0.001554, 0.104603
1266688, 0.001205, 0.087159
1267712, 0.001243, 0.083233
1268736, 0.000721, 0.045470
1269760, 0.001212, 0.077985
1270784, 0.001126, 0.072657
1271808, 0.001290, 0.087291
1272832, 0.001179, 0.080526
1273856, 0.000768, 0.051952
1274880, 0.001233, 0.084212
1275904, 0.001012, 0.067152
1276928, 0.001475, 0.102057
1277952, 0.001033, 0.069395
1278976, 0.001096, 0.069149
1280000, 0.000909, 0.060961
1281024, 0.000971, 0.068647
1282048, 0.001780, 0.125292
1283072, 0.001223, 0.084571
1284096, 0.001088, 0.089174
1285120, 0.000792, 0.063122
1286144, 0.000887, 0.055294
1287168, 0.000978, 0.076845
1288192, 0.001075, 0.081037
1289216, 0.001100, 0.078699
1290240, 0.000644, 0.053761
1291264, 0.001303, 0.097507
1292288, 0.001205, 0.088219
1293312, 0.001075, 0.088058
1294336, 0.001183, 0.096058
1295360, 0.001201, 0.095169
1296384, 0.000782, 0.057800
1297408, 0.000800, 0.060783
1298432, 0.001142, 0.092614
1299456, 0.001433, 0.118959
1300480, 0.000773, 0.057636
1301504, 0.001202, 0.086010
1302528, 0.000961, 0.073274
1303552, 0.000973, 0.076387
1304576, 0.001432, 0.111413
1305600, 0.000717, 0.053266
1306624, 0.000779, 0.060667
1307648, 0.001122, 0.083333
1308672, 0.001046, 0.080737
1309696, 0.000773, 0.066565
1310720, 0.001776, 0.157954
1311744, 0.001007, 0.076257
1312768, 0.001266, 0.099187
1313792, 0.000867, 0.065923
1314816, 0.001028, 0.084974
1315840, 0.000849, 0.057810
1316864, 0.000734, 0.065104
1317888, 0.000957, 0.080910
1318912, 0.001035, 0.075820
1319936, 0.000820, 0.062880
1320960, 0.001212, 0.100440
1321984, 0.002263, 0.196549
1323008, 0.001339, 0.116042
1324032, 0.000859, 0.073690
1325056, 0.001153, 0.099701
1326080, 0.001059, 0.089299
1327104, 0.001028, 0.085175
1328128, 0.001184, 0.109200
1329152, 0.001275, 0.104144
1330176, 0.001122, 0.092104
1331200, 0.000804, 0.067934
1332224, 0.000747, 0.062485
1333248, 0.000971, 0.083991
1334272, 0.000760, 0.057732
1335296, 0.001012, 0.089696
1336320, 0.001022, 0.092745
1337344, 0.001113, 0.098515
1338368, 0.000821, 0.073516
1339392, 0.001254, 0.112761
1340416, 0.000983, 0.094594
1341440, 0.000524, 0.047700
1342464, 0.001334, 0.129635
1343488, 0.000874, 0.081209
1344512, 0.002007, 0.193023
1345536, 0.000774, 0.075907
1346560, 0.000470, 0.049305
1347584, 0.000766, 0.082211
1348608, 0.000979, 0.090630
1349632, 0.001056, 0.100216
1350656, 0.000673, 0.061159
