tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
1120, 140, 0, 0.967500, 1, 100, 0.000000
1120, 140, 0, 0.977500, 1, 100, 0.001547
1120, 140, 0, 0.987500, 1, 100, 0.061851
1152, 140, 0, 0.967500, 1, 100, 0.000000
1152, 140, 0, 0.977500, 1, 100, 0.004559
1152, 140, 0, 0.987500, 1, 100, 0.044441
1184, 140, 0, 0.967500, 1, 100, 0.001302
1184, 140, 0, 0.977500, 1, 100, 0.003338
1184, 140, 0, 0.987500, 1, 100, 0.045530
1216, 140, 0, 0.967500, 1, 100, 0.000000
1216, 140, 0, 0.977500, 1, 100, 0.000000
1216, 140, 0, 0.987500, 1, 100, 0.054320
1248, 140, 0, 0.967500, 1, 100, 0.001139
1248, 140, 0, 0.977500, 1, 100, 0.003333
1248, 140, 0, 0.987500, 1, 100, 0.047743
1280, 140, 0, 0.967500, 1, 100, 0.000000
1280, 140, 0, 0.977500, 1, 100, 0.000000
1280, 140, 0, 0.987500, 1, 100, 0.032635
1312, 140, 0, 0.967500, 1, 100, 0.000000
1312, 140, 0, 0.977500, 1, 100, 0.002198
1312, 140, 0, 0.987500, 1, 100, 0.064960
1344, 140, 0, 0.967500, 1, 100, 0.000000
1344, 140, 0, 0.977500, 1, 100, 0.003089
1344, 140, 0, 0.987500, 1, 100, 0.066621
1376, 140, 0, 0.967500, 1, 100, 0.000000
1376, 140, 0, 0.977500, 1, 100, 0.008057
1376, 140, 0, 0.987500, 1, 100, 0.034769
1408, 140, 0, 0.967500, 1, 100, 0.000000
1408, 140, 0, 0.977500, 1, 100, 0.008134
1408, 140, 0, 0.987500, 1, 100, 0.038659
1440, 140, 0, 0.967500, 1, 100, 0.000000
1440, 140, 0, 0.977500, 1, 100, 0.008387
1440, 140, 0, 0.987500, 1, 100, 0.063629
1472, 140, 0, 0.967500, 1, 100, 0.000000
1472, 140, 0, 0.977500, 1, 100, 0.005292
1472, 140, 0, 0.987500, 1, 100, 0.057453
1504, 140, 0, 0.967500, 1, 100, 0.000896
1504, 140, 0, 0.977500, 1, 100, 0.000570
1504, 140, 0, 0.987500, 1, 100, 0.060081
1536, 140, 0, 0.967500, 1, 100, 0.000000
1536, 140, 0, 0.977500, 1, 100, 0.003172
1536, 140, 0, 0.987500, 1, 100, 0.029882
1568, 140, 0, 0.967500, 1, 100, 0.001546
1568, 140, 0, 0.977500, 1, 100, 0.004229
1568, 140, 0, 0.987500, 1, 100, 0.065412
1600, 140, 0, 0.967500, 1, 100, 0.000000
1600, 140, 0, 0.977500, 1, 100, 0.007081
1600, 140, 0, 0.987500, 1, 100, 0.070998
1632, 140, 0, 0.967500, 1, 100, 0.000000
1632, 140, 0, 0.977500, 1, 100, 0.000326
1632, 140, 0, 0.987500, 1, 100, 0.058369
1664, 140, 0, 0.967500, 1, 100, 0.001059
1664, 140, 0, 0.977500, 1, 100, 0.004070
1664, 140, 0, 0.987500, 1, 100, 0.051614
1696, 140, 0, 0.967500, 1, 100, 0.000569
1696, 140, 0, 0.977500, 1, 100, 0.004880
1696, 140, 0, 0.987500, 1, 100, 0.037441
1728, 140, 0, 0.967500, 1, 100, 0.000000
1728, 140, 0, 0.977500, 1, 100, 0.000000
1728, 140, 0, 0.987500, 1, 100, 0.044880
1760, 140, 0, 0.967500, 1, 100, 0.000000
1760, 140, 0, 0.977500, 1, 100, 0.002117
1760, 140, 0, 0.987500, 1, 100, 0.037034
1792, 140, 0, 0.967500, 1, 100, 0.000000
1792, 140, 0, 0.977500, 1, 100, 0.005290
1792, 140, 0, 0.987500, 1, 100, 0.039631
1824, 140, 0, 0.967500, 1, 100, 0.000162
1824, 140, 0, 0.977500, 1, 100, 0.001057
1824, 140, 0, 0.987500, 1, 100, 0.044386
1856, 140, 0, 0.967500, 1, 100, 0.000000
1856, 140, 0, 0.977500, 1, 100, 0.000406
1856, 140, 0, 0.987500, 1, 100, 0.033521
1888, 140, 0, 0.967500, 1, 100, 0.000000
1888, 140, 0, 0.977500, 1, 100, 0.001546
1888, 140, 0, 0.987500, 1, 100, 0.023110
1920, 140, 0, 0.967500, 1, 100, 0.000000
1920, 140, 0, 0.977500, 1, 100, 0.000000
1920, 140, 0, 0.987500, 1, 100, 0.021398
1952, 140, 0, 0.967500, 1, 100, 0.000000
1952, 140, 0, 0.977500, 1, 100, 0.001546
1952, 140, 0, 0.987500, 1, 100, 0.029935
1984, 140, 0, 0.967500, 1, 100, 0.000000
1984, 140, 0, 0.977500, 1, 100, 0.000000
1984, 140, 0, 0.987500, 1, 100, 0.040972
2016, 140, 0, 0.967500, 1, 100, 0.000000
2016, 140, 0, 0.977500, 1, 100, 0.001221
2016, 140, 0, 0.987500, 1, 100, 0.022465
2048, 140, 0, 0.967500, 1, 100, 0.000000
2048, 140, 0, 0.977500, 1, 100, 0.005535
2048, 140, 0, 0.987500, 1, 100, 0.042063
2080, 140, 0, 0.967500, 1, 100, 0.000000
2080, 140, 0, 0.977500, 1, 100, 0.001384
2080, 140, 0, 0.987500, 1, 100, 0.033709
2112, 140, 0, 0.967500, 1, 100, 0.000163
2112, 140, 0, 0.977500, 1, 100, 0.002196
2112, 140, 0, 0.987500, 1, 100, 0.052977
2144, 140, 0, 0.967500, 1, 100, 0.000000
2144, 140, 0, 0.977500, 1, 100, 0.006675
2144, 140, 0, 0.987500, 1, 100, 0.040782
2176, 140, 0, 0.967500, 1, 100, 0.000000
2176, 140, 0, 0.977500, 1, 100, 0.008546
2176, 140, 0, 0.987500, 1, 100, 0.031242
2208, 140, 0, 0.967500, 1, 100, 0.000000
2208, 140, 0, 0.977500, 1, 100, 0.003092
2208, 140, 0, 0.987500, 1, 100, 0.052173
2240, 140, 0, 0.967500, 1, 100, 0.000731
2240, 140, 0, 0.977500, 1, 100, 0.001788
2240, 140, 0, 0.987500, 1, 100, 0.044261
2272, 140, 0, 0.967500, 1, 100, 0.000000
2272, 140, 0, 0.977500, 1, 100, 0.001139
2272, 140, 0, 0.987500, 1, 100, 0.028499
2304, 140, 0, 0.967500, 1, 100, 0.000000
2304, 140, 0, 0.977500, 1, 100, 0.004637
2304, 140, 0, 0.987500, 1, 100, 0.043571
2336, 140, 0, 0.967500, 1, 100, 0.000815
2336, 140, 0, 0.977500, 1, 100, 0.000488
2336, 140, 0, 0.987500, 1, 100, 0.044091
2368, 140, 0, 0.967500, 1, 100, 0.000000
2368, 140, 0, 0.977500, 1, 100, 0.003014
2368, 140, 0, 0.987500, 1, 100, 0.020518
2400, 140, 0, 0.967500, 1, 100, 0.000000
2400, 140, 0, 0.977500, 1, 100, 0.003010
2400, 140, 0, 0.987500, 1, 100, 0.047779
2432, 140, 0, 0.967500, 1, 100, 0.000000
2432, 140, 0, 0.977500, 1, 100, 0.000000
2432, 140, 0, 0.987500, 1, 100, 0.040436
2464, 140, 0, 0.967500, 1, 100, 0.000000
2464, 140, 0, 0.977500, 1, 100, 0.011149
2464, 140, 0, 0.987500, 1, 100, 0.025315
2496, 140, 0, 0.967500, 1, 100, 0.000000
2496, 140, 0, 0.977500, 1, 100, 0.009358
2496, 140, 0, 0.987500, 1, 100, 0.032358
2528, 140, 0, 0.967500, 1, 100, 0.000000
2528, 140, 0, 0.977500, 1, 100, 0.001871
2528, 140, 0, 0.987500, 1, 100, 0.031410
2560, 140, 0, 0.967500, 1, 100, 0.000000
2560, 140, 0, 0.977500, 1, 100, 0.008788
2560, 140, 0, 0.987500, 1, 100, 0.029854
2592, 140, 0, 0.967500, 1, 100, 0.000000
2592, 140, 0, 0.977500, 1, 100, 0.002848
2592, 140, 0, 0.987500, 1, 100, 0.074600
2624, 140, 0, 0.967500, 1, 100, 0.000000
2624, 140, 0, 0.977500, 1, 100, 0.003747
2624, 140, 0, 0.987500, 1, 100, 0.044056
2656, 140, 0, 0.967500, 1, 100, 0.000000
2656, 140, 0, 0.977500, 1, 100, 0.003992
2656, 140, 0, 0.987500, 1, 100, 0.053715
2688, 140, 0, 0.967500, 1, 100, 0.000813
2688, 140, 0, 0.977500, 1, 100, 0.012053
2688, 140, 0, 0.987500, 1, 100, 0.074392
2720, 140, 0, 0.967500, 1, 100, 0.000163
2720, 140, 0, 0.977500, 1, 100, 0.001221
2720, 140, 0, 0.987500, 1, 100, 0.027849
2752, 140, 0, 0.967500, 1, 100, 0.000000
2752, 140, 0, 0.977500, 1, 100, 0.002602
2752, 140, 0, 0.987500, 1, 100, 0.032142
2784, 140, 0, 0.967500, 1, 100, 0.002277
2784, 140, 0, 0.977500, 1, 100, 0.002931
2784, 140, 0, 0.987500, 1, 100, 0.043405
2816, 140, 0, 0.967500, 1, 100, 0.000000
2816, 140, 0, 0.977500, 1, 100, 0.003253
2816, 140, 0, 0.987500, 1, 100, 0.055853
2848, 140, 0, 0.967500, 1, 100, 0.000163
2848, 140, 0, 0.977500, 1, 100, 0.005124
2848, 140, 0, 0.987500, 1, 100, 0.055659
2880, 140, 0, 0.967500, 1, 100, 0.000000
2880, 140, 0, 0.977500, 1, 100, 0.000244
2880, 140, 0, 0.987500, 1, 100, 0.046379
