tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
960, 155, 0, 0.978750, 1, 100, 0.000075
960, 155, 0, 0.988750, 1, 100, 0.000886
960, 155, 0, 0.998750, 1, 100, 0.009895
992, 155, 0, 0.968750, 1, 100, 0.000004
992, 155, 0, 0.978750, 1, 100, 0.000015
992, 155, 0, 0.988750, 1, 100, 0.000646
992, 155, 0, 0.998750, 1, 100, 0.011606
1024, 155, 0, 0.968750, 1, 100, 0.000000
1024, 155, 0, 0.978750, 1, 100, 0.000036
1024, 155, 0, 0.988750, 1, 100, 0.000798
1024, 155, 0, 0.998750, 1, 100, 0.011464
1056, 155, 0, 0.968750, 1, 100, 0.000000
1056, 155, 0, 0.978750, 1, 100, 0.000066
1056, 155, 0, 0.988750, 1, 100, 0.000699
1056, 155, 0, 0.998750, 1, 100, 0.008930
1088, 155, 0, 0.968750, 1, 100, 0.000000
1088, 155, 0, 0.978750, 1, 100, 0.000070
1088, 155, 0, 0.988750, 1, 100, 0.000497
1088, 155, 0, 0.998750, 1, 100, 0.010022
1120, 155, 0, 0.968750, 1, 100, 0.000000
1120, 155, 0, 0.978750, 1, 100, 0.000002
1120, 155, 0, 0.988750, 1, 100, 0.000510
1120, 155, 0, 0.998750, 1, 100, 0.011209
1152, 155, 0, 0.968750, 1, 100, 0.000000
1152, 155, 0, 0.978750, 1, 100, 0.000132
1152, 155, 0, 0.988750, 1, 100, 0.000477
1152, 155, 0, 0.998750, 1, 100, 0.010090
1184, 155, 0, 0.968750, 1, 100, 0.000011
1184, 155, 0, 0.978750, 1, 100, 0.000002
1184, 155, 0, 0.988750, 1, 100, 0.000644
1184, 155, 0, 0.998750, 1, 100, 0.010504
1216, 155, 0, 0.968750, 1, 100, 0.000000
1216, 155, 0, 0.978750, 1, 100, 0.000068
1216, 155, 0, 0.988750, 1, 100, 0.000742
1216, 155, 0, 0.998750, 1, 100, 0.011162
1248, 155, 0, 0.968750, 1, 100, 0.000000
1248, 155, 0, 0.978750, 1, 100, 0.000044
1248, 155, 0, 0.988750, 1, 100, 0.000637
1248, 155, 0, 0.998750, 1, 100, 0.012030
1280, 155, 0, 0.968750, 1, 100, 0.000004
1280, 155, 0, 0.978750, 1, 100, 0.000081
1280, 155, 0, 0.988750, 1, 100, 0.000834
1280, 155, 0, 0.998750, 1, 100, 0.010160
1312, 155, 0, 0.968750, 1, 100, 0.000000
1312, 155, 0, 0.978750, 1, 100, 0.000021
1312, 155, 0, 0.988750, 1, 100, 0.000355
1312, 155, 0, 0.998750, 1, 100, 0.009648
1344, 155, 0, 0.968750, 1, 100, 0.000035
1344, 155, 0, 0.978750, 1, 100, 0.000053
1344, 155, 0, 0.988750, 1, 100, 0.000700
1344, 155, 0, 0.998750, 1, 100, 0.010929
1376, 155, 0, 0.968750, 1, 100, 0.000006
1376, 155, 0, 0.978750, 1, 100, 0.000031
1376, 155, 0, 0.988750, 1, 100, 0.000576
1376, 155, 0, 0.998750, 1, 100, 0.012150
1408, 155, 0, 0.968750, 1, 100, 0.000000
1408, 155, 0, 0.978750, 1, 100, 0.000077
1408, 155, 0, 0.988750, 1, 100, 0.001249
1408, 155, 0, 0.998750, 1, 100, 0.012470
1440, 155, 0, 0.968750, 1, 100, 0.000000
1440, 155, 0, 0.978750, 1, 100, 0.000037
1440, 155, 0, 0.988750, 1, 100, 0.000567
1440, 155, 0, 0.998750, 1, 100, 0.009663
1472, 155, 0, 0.968750, 1, 100, 0.000002
1472, 155, 0, 0.978750, 1, 100, 0.000019
1472, 155, 0, 0.988750, 1, 100, 0.000702
1472, 155, 0, 0.998750, 1, 100, 0.011789
1504, 155, 0, 0.968750, 1, 100, 0.000000
1504, 155, 0, 0.978750, 1, 100, 0.000064
1504, 155, 0, 0.988750, 1, 100, 0.000483
1504, 155, 0, 0.998750, 1, 100, 0.011441
1536, 155, 0, 0.968750, 1, 100, 0.000000
1536, 155, 0, 0.978750, 1, 100, 0.000032
1536, 155, 0, 0.988750, 1, 100, 0.000579
1536, 155, 0, 0.998750, 1, 100, 0.012167
1568, 155, 0, 0.968750, 1, 100, 0.000000
1568, 155, 0, 0.978750, 1, 100, 0.000027
1568, 155, 0, 0.988750, 1, 100, 0.000369
1568, 155, 0, 0.998750, 1, 100, 0.008057
1600, 155, 0, 0.968750, 1, 100, 0.000000
