tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
3744, 155, 50, 0.987500, 1, 100, 1.740969
3776, 155, 50, 0.987500, 1, 100, 1.735214
3808, 155, 50, 0.987500, 1, 100, 1.735661
3840, 155, 50, 0.987500, 1, 100, 1.739911
3872, 155, 50, 0.987500, 1, 100, 1.742147
3904, 155, 50, 0.987500, 1, 100, 1.734716
3936, 155, 50, 0.987500, 1, 100, 1.738721
3968, 155, 50, 0.987500, 1, 100, 1.739602
4000, 155, 50, 0.987500, 1, 100, 1.732933
4032, 155, 50, 0.987500, 1, 100, 1.733342
4064, 155, 50, 0.987500, 1, 100, 1.736677
4096, 155, 50, 0.987500, 1, 100, 1.735358
4128, 155, 50, 0.987500, 1, 100, 1.732304
4160, 155, 50, 0.987500, 1, 100, 1.733877
4192, 155, 50, 0.987500, 1, 100, 1.733978
4224, 155, 50, 0.987500, 1, 100, 1.738636
4256, 155, 50, 0.987500, 1, 100, 1.734829
4288, 155, 50, 0.987500, 1, 100, 1.732115
4320, 155, 50, 0.987500, 1, 100, 1.734918
4352, 155, 50, 0.987500, 1, 100, 1.734643
4384, 155, 50, 0.987500, 1, 100, 1.730885
4416, 155, 50, 0.987500, 1, 100, 1.729426
4448, 155, 50, 0.987500, 1, 100, 1.734074
4480, 155, 50, 0.987500, 1, 100, 1.733848
4512, 155, 50, 0.987500, 1, 100, 1.731259
4544, 155, 50, 0.987500, 1, 100, 1.732156
4576, 155, 50, 0.987500, 1, 100, 1.726985
4608, 155, 50, 0.987500, 1, 100, 1.729679
4640, 155, 50, 0.987500, 1, 100, 1.732830
4672, 155, 50, 0.987500, 1, 100, 1.728368
4704, 155, 50, 0.987500, 1, 100, 1.723206
4736, 155, 50, 0.987500, 1, 100, 1.729656
4768, 155, 50, 0.987500, 1, 100, 1.730972
4800, 155, 50, 0.987500, 1, 100, 1.728059
4832, 155, 50, 0.987500, 1, 100, 1.730988
4864, 155, 50, 0.987500, 1, 100, 1.727209
4896, 155, 50, 0.987500, 1, 100, 1.731930
4928, 155, 50, 0.987500, 1, 100, 1.730926
4960, 155, 50, 0.987500, 1, 100, 1.727779
4992, 155, 50, 0.987500, 1, 100, 1.726837
5024, 155, 50, 0.987500, 1, 100, 1.731344
5056, 155, 50, 0.987500, 1, 100, 1.728782
5088, 155, 50, 0.987500, 1, 100, 1.727914
5120, 155, 50, 0.987500, 1, 100, 1.732526
5152, 155, 50, 0.987500, 1, 100, 1.726180
5184, 155, 50, 0.987500, 1, 100, 1.728636
5216, 155, 50, 0.987500, 1, 100, 1.725942
5248, 155, 50, 0.987500, 1, 100, 1.726382
5280, 155, 50, 0.987500, 1, 100, 1.733491
5312, 155, 50, 0.987500, 1, 100, 1.724604
5344, 155, 50, 0.987500, 1, 100, 1.727954
5376, 155, 50, 0.987500, 1, 100, 1.727312
5408, 155, 50, 0.987500, 1, 100, 1.729503
5440, 155, 50, 0.987500, 1, 100, 1.725169
5472, 155, 50, 0.987500, 1, 100, 1.724285
5504, 155, 50, 0.987500, 1, 100, 1.727141
5536, 155, 50, 0.987500, 1, 100, 1.729256
5568, 155, 50, 0.987500, 1, 100, 1.727713
5600, 155, 50, 0.987500, 1, 100, 1.723707
5632, 155, 50, 0.987500, 1, 100, 1.733761
5664, 155, 50, 0.987500, 1, 100, 1.724070
5696, 155, 50, 0.987500, 1, 100, 1.727947
5728, 155, 50, 0.987500, 1, 100, 1.724470
5760, 155, 50, 0.987500, 1, 100, 1.722783
5792, 155, 50, 0.987500, 1, 100, 1.728145
5824, 155, 50, 0.987500, 1, 100, 1.723974
5856, 155, 50, 0.987500, 1, 100, 1.725656
5888, 155, 50, 0.987500, 1, 100, 1.728504
5920, 155, 50, 0.987500, 1, 100, 1.725255
5952, 155, 50, 0.987500, 1, 100, 1.728050
5984, 155, 50, 0.987500, 1, 100, 1.722967
6016, 155, 50, 0.987500, 1, 100, 1.725273
6048, 155, 50, 0.987500, 1, 100, 1.728321
6080, 155, 50, 0.987500, 1, 100, 1.725467
6112, 155, 50, 0.987500, 1, 100, 1.726714
6144, 155, 50, 0.987500, 1, 100, 1.722832
6176, 155, 50, 0.987500, 1, 100, 1.719229
6208, 155, 50, 0.987500, 1, 100, 1.721180
6240, 155, 50, 0.987500, 1, 100, 1.726410
6272, 155, 50, 0.987500, 1, 100, 1.721575
6304, 155, 50, 0.987500, 1, 100, 1.721855
6336, 155, 50, 0.987500, 1, 100, 1.716014
6368, 155, 50, 0.987500, 1, 100, 1.724333
6400, 155, 50, 0.987500, 1, 100, 1.722028
6432, 155, 50, 0.987500, 1, 100, 1.722389
6464, 155, 50, 0.987500, 1, 100, 1.720232
6496, 155, 50, 0.987500, 1, 100, 1.723309
6528, 155, 50, 0.987500, 1, 100, 1.722498
6560, 155, 50, 0.987500, 1, 100, 1.721731
6592, 155, 50, 0.987500, 1, 100, 1.721995
6624, 155, 50, 0.987500, 1, 100, 1.723505
6656, 155, 50, 0.987500, 1, 100, 1.721653
6688, 155, 50, 0.987500, 1, 100, 1.723513
6720, 155, 50, 0.987500, 1, 100, 1.720777
6752, 155, 50, 0.987500, 1, 100, 1.718645
6784, 155, 50, 0.987500, 1, 100, 1.725474
6816, 155, 50, 0.987500, 1, 100, 1.724316
6848, 155, 50, 0.987500, 1, 100, 1.719237
6880, 155, 50, 0.987500, 1, 100, 1.727912
6912, 155, 50, 0.987500, 1, 100, 1.720895
6944, 155, 50, 0.987500, 1, 100, 1.719274
6976, 155, 50, 0.987500, 1, 100, 1.718331
7008, 155, 50, 0.987500, 1, 100, 1.717580
7040, 155, 50, 0.987500, 1, 100, 1.719249
7072, 155, 50, 0.987500, 1, 100, 1.723232
7104, 155, 50, 0.987500, 1, 100, 1.723688
7136, 155, 50, 0.987500, 1, 100, 1.724931
7168, 155, 50, 0.987500, 1, 100, 1.723130
7200, 155, 50, 0.987500, 1, 100, 1.721127
7232, 155, 50, 0.987500, 1, 100, 1.721273
7264, 155, 50, 0.987500, 1, 100, 1.722745
7296, 155, 50, 0.987500, 1, 100, 1.720242
7328, 155, 50, 0.987500, 1, 100, 1.725140
7360, 155, 50, 0.987500, 1, 100, 1.719606
7392, 155, 50, 0.987500, 1, 100, 1.722051
7424, 155, 50, 0.987500, 1, 100, 1.720761
7456, 155, 50, 0.987500, 1, 100, 1.716571
