tau,regular_loss,naughty_loss
6848, 0.102065, 1.617172
6880, 0.104064, 1.623848
6912, 0.102119, 1.618776
6944, 0.101906, 1.617368
6976, 0.100017, 1.618314
7008, 0.099368, 1.618212
7040, 0.100382, 1.618868
7072, 0.100223, 1.623009
7104, 0.098563, 1.625125
7136, 0.100639, 1.624292
7168, 0.097655, 1.625475
7200, 0.096948, 1.624180
7232, 0.096633, 1.624641
7264, 0.098220, 1.624525
7296, 0.097380, 1.622861
7328, 0.098929, 1.626212
7360, 0.096250, 1.623356
7392, 0.096548, 1.625503
7424, 0.094869, 1.625892
7456, 0.094367, 1.622204
7488, 0.095338, 1.618653
7520, 0.093790, 1.625259
7552, 0.094905, 1.626931
7584, 0.093527, 1.623804
7616, 0.093109, 1.625819
7648, 0.092493, 1.626102
7680, 0.094048, 1.624658
7712, 0.093024, 1.633915
7744, 0.093783, 1.626547
7776, 0.091529, 1.627921
7808, 0.092454, 1.630795
7840, 0.092178, 1.629816
7872, 0.091472, 1.625659
7904, 0.090478, 1.631131
7936, 0.090124, 1.623740
7968, 0.089602, 1.630387
8000, 0.089617, 1.627219
8032, 0.089423, 1.623852
8064, 0.089667, 1.630382
8096, 0.087968, 1.630199
8128, 0.087897, 1.628673
8160, 0.087744, 1.627255
8192, 0.089941, 1.629991
8224, 0.087860, 1.629213
8256, 0.085961, 1.628176
8288, 0.085651, 1.629489
8320, 0.087226, 1.630408
8352, 0.087583, 1.629558
8384, 0.084663, 1.632639
8416, 0.085402, 1.627310
8448, 0.086281, 1.627489
8480, 0.085488, 1.634705
8512, 0.085961, 1.627090
8544, 0.083588, 1.635188
8576, 0.086391, 1.633623
8608, 0.084261, 1.633132
8640, 0.085355, 1.633693
8672, 0.084248, 1.635295
8704, 0.083781, 1.632013
8736, 0.083131, 1.636286
8768, 0.082609, 1.636508
8800, 0.084072, 1.638722
8832, 0.084807, 1.636976
8864, 0.082486, 1.633724
8896, 0.081991, 1.632976
8928, 0.082240, 1.635509
8960, 0.080741, 1.636340
8992, 0.082074, 1.632946
9024, 0.079882, 1.634760
9056, 0.081545, 1.634088
9088, 0.079657, 1.638977
9120, 0.080430, 1.639070
9152, 0.080078, 1.635585
9184, 0.080505, 1.639716
9216, 0.078074, 1.634223
9248, 0.076413, 1.639286
9280, 0.076954, 1.640434
9312, 0.078790, 1.640339
9344, 0.079451, 1.639339
9376, 0.078857, 1.638112
9408, 0.077960, 1.634871
9440, 0.080257, 1.635674
9472, 0.077051, 1.637394
9504, 0.074707, 1.636406
9536, 0.076840, 1.636486
9568, 0.078278, 1.644448
